,Age,Gender_ذكر,Home Region,Program Main Category Code,Technology Type,Program Skill Level,Program Presentation Method,Program Days,Completed Degree,Level of Education,Education Speaciality,College_تكنولوجيا الاتصالات والمعلومات,Employment Status,Job Type,Y,Degree_Score_Pct
0,37.0,1,منطقة الرياض,PCRF,مفقود,مفقود,حضوري,12,نعم,البكالوريوس,هندسة حاسب,1,غير موظف,مفقود,0,61.0
1,21.0,1,منطقة عسير,APMR,مفقود,متوسط,حضوري,5,نعم,البكالوريوس,الإذاعة والتلفزيون والفيلم,0,طالب,مفقود,0,100.0
2,24.0,1,منطقة الرياض,APMR,مفقود,متوسط,حضوري,54,نعم,البكالوريوس,تقنية معلومات,1,موظف,مفقود,0,70.0
3,23.0,1,منطقة الرياض,TOSL,مفقود,مفقود,حضوري,33,نعم,البكالوريوس,حوسبة تطبيقية - (مسار شبكات الحاسب),1,خريج,مفقود,0,71.0
4,23.0,1,منطقة الرياض,CAUF,تقليدية,متوسط,حضوري,54,لا,البكالوريوس,نظم المعلومات الحاسوبية,1,موظف,مفقود,0,80.0
5,30.0,1,منطقة الرياض,ABIR,ناشئة,مبتدئ,حضوري,12,نعم,البكالوريوس,هندسة حاسب,1,موظف,مفقود,0,81.4
6,30.0,0,منطقة الرياض,GRST,مفقود,متوسط,حضوري,5,نعم,البكالوريوس,نظم معلومات,1,موظف,مفقود,0,80.0
7,23.0,0,المنطقة الشرقية,ABIR,تقليدية,مبتدئ,عن بعد,5,نعم,البكالوريوس,هندسة حاسب,1,خريج,مفقود,0,91.0
8,27.0,0,منطقة مكة المكرمة,APMR,مفقود,متوسط,عن بعد,5,نعم,البكالوريوس,نظم المعلومات,1,موظف,مفقود,0,60.0
9,20.0,1,منطقة نجران,PCRF,تقليدية,مبتدئ,عن بعد,19,لا,البكالوريوس,علوم حاسب,1,موظف - طالب,دوام كامل,1,40.0
10,38.0,0,منطقة الرياض,APMR,مفقود,مفقود,حضوري,26,نعم,الماجستير,نظم المعلومات,1,موظف,دوام كامل,0,80.0
11,23.0,0,منطقة مكة المكرمة,APMR,مفقود,متوسط,حضوري,59,نعم,البكالوريوس,علوم حاسب,1,خريج,مفقود,0,95.75
12,29.0,1,منطقة الرياض,PCRF,مفقود,مفقود,حضوري,5,لا,البكالوريوس,تقنية المعلومات,1,موظف,مفقود,1,75.0
13,27.0,1,منطقة مكة المكرمة,PCRF,تقليدية,متوسط,حضوري,12,نعم,البكالوريوس,علوم حاسب,1,غير موظف,دوام كامل,0,72.8
14,24.0,0,منطقة الرياض,APMR,داعمة,مبتدئ,حضوري,5,لا,البكالوريوس,علوم حاسب,1,غير موظف,دوام كامل,0,80.0
15,23.0,0,منطقة الرياض,CAUF,تقليدية,متقدم,حضوري,12,نعم,البكالوريوس,هندسة برمجيات,1,خريج,مفقود,0,92.0
16,24.0,1,منطقة مكة المكرمة,PCRF,ناشئة,مبتدئ,عن بعد,5,نعم,البكالوريوس,تقنية المعلومات,1,موظف,دوام كامل,0,76.2
17,34.0,1,منطقة الرياض,PCRF,تقليدية,متوسط,حضوري,12,نعم,البكالوريوس,أمن سيبراني,1,موظف,مفقود,0,71.25
18,43.0,1,منطقة الرياض,GRST,تقليدية,متوسط,حضوري,5,نعم,البكالوريوس,الجغرافيا البشرية,0,موظف,دوام كامل,0,49.6
19,21.0,0,منطقة الرياض,CAUF,داعمة,مبتدئ,حضوري,12,نعم,ثانوي,هندسة حاسب,1,طالب,مفقود,0,86.19999999999999
20,24.0,1,منطقة الرياض,PCRF,مفقود,مفقود,حضوري,19,نعم,البكالوريوس,علوم حاسب,1,موظف,دوام كامل,0,60.0
21,23.0,1,منطقة الرياض,CAUF,مفقود,مبتدئ,حضوري,5,نعم,البكالوريوس,Civil And Environmental Engineering,1,طالب,مفقود,0,78.0
22,29.0,0,منطقة نجران,CAUF,مفقود,مفقود,عن بعد,19,نعم,البكالوريوس,علوم حاسب,1,خريج,مفقود,0,81.4
23,22.0,1,منطقة الرياض,TOSL,داعمة,متقدم,حضوري,33,نعم,البكالوريوس,الرياضيات التطبيقية,0,غير موظف,دوام كامل,0,79.4
24,30.0,1,منطقة الرياض,PCRF,مفقود,متوسط,حضوري,12,نعم,الماجستير,أمن المعلومات,1,موظف,مفقود,0,91.19999999999999
25,26.0,0,منطقة الرياض,INFA,مفقود,مفقود,حضوري,135,لا,البكالوريوس,نظم معلومات,1,عمل حر,مفقود,1,82.0
26,30.0,1,منطقة الرياض,TOSL,مفقود,مبتدئ,حضوري,5,نعم,الماجستير,علوم حاسب,1,موظف,دوام كامل,0,50.0
